"Area","Nombres","DNI","Nro. Celular","Correo","OPCIONES"
"VENTAS","Taylor O'Hara","10000000","99999999","ekling@hotmail.com",""
"VENTAS","Ruthie Champlin","9999999","99999999","pansy.cruickshank@runte.com",""
"VENTAS","Precious Kuphal","10000000","99999999","bertrand.damore@mann.biz",""
"VENTAS","Mafalda Lemke","10000000","100000000","zmann@gmail.com",""
"VENTAS","Sonny Altenwerth","9999999","99999999","pascale.little@rutherford.com",""
"VENTAS","Lucious Nicolas","10000000","100000000","mdietrich@hotmail.com",""
"VENTAS","Eusebio Bartell","9999999","100000000","name93@howe.com",""
"VENTAS","Kay Grady","9999999","100000000","ewaelchi@gmail.com",""
"VENTAS","Mac Cartwright","10000000","100000000","jairo.ondricka@koepp.net",""
"VENTAS","Eunice Kozey","10000000","99999999","rlegros@kshlerin.org",""
"VENTAS","Quincy Conroy","10000000","99999999","dagmar.oberbrunner@upton.com",""
"VENTAS","Wilfredo Bradtke","9999999","100000000","brown.delpha@prosacco.net",""
"VENTAS","Kelsie Schowalter","10000000","100000000","esperanza.effertz@gmail.com",""
"VENTAS","Ignatius Krajcik","10000000","99999999","dietrich.jabari@yahoo.com",""
"VENTAS","Agustin Weber","10000000","100000000","tyrell.feeney@senger.com",""
"VENTAS","Oscar Huel","10000000","100000000","uemard@yahoo.com",""
"VENTAS","Kane Rohan","9999999","99999999","little.mossie@lehner.com",""
"VENTAS","Nathanael Altenwerth","10000000","99999999","eli59@hotmail.com",""
"VENTAS","Dashawn Bergnaum","9999999","99999999","hessel.darion@predovic.com",""
"VENTAS","Claudine Harber","10000000","100000000","kaylee.heaney@jenkins.com",""
"VENTAS","Griffin Feeney","10000000","99999999","else50@littel.com",""
"VENTAS","Jewell Braun","9999999","99999999","renner.kathleen@stanton.com",""
"VENTAS","Conor Gislason","10000000","100000000","emilio.mante@yahoo.com",""
"VENTAS","Oswald O'Keefe","9999999","99999999","tremblay.orland@reynolds.org",""
"VENTAS","Lori Veum","10000000","100000000","randall.boyer@kuphal.com",""
"VENTAS","Kacey Walsh","10000000","100000000","pauline.hill@cronin.org",""
"VENTAS","Jennifer Roberts","10000000","99999999","schamberger.kolby@schoen.net",""
"VENTAS","Casper Kris","10000000","99999999","clotilde64@hotmail.com",""
"VENTAS","Tyra Hermann","10000000","99999999","olson.brown@gmail.com",""
"VENTAS","Elva Rice","10000000","99999999","yundt.brandi@hotmail.com",""
"VENTAS","Tabitha Goyette","10000000","100000000","jacobs.abby@strosin.com",""
"VENTAS","Meaghan D'Amore","10000000","99999999","cassie.rippin@yahoo.com",""
"VENTAS","Ernestina Runte","10000000","99999999","csauer@bahringer.com",""
"VENTAS","Clement Carter","9999999","99999999","white.amelia@becker.com",""
"VENTAS","Erna Pollich","10000000","100000000","jorge48@spencer.biz",""
